Voltage,5V,Current_Motor,Current_Board
16.18115,5.113249,0,0.261104
16.18115,5.111248,0,0.261624
16.16895,5.117249,0,0.260584
16.18115,5.103246,0,0.259673
16.17505,5.117249,0,0.260584
16.19335,5.11925,0,0.261104
16.14454,5.105247,0,0.258893
16.19335,5.115249,0,0.261104
16.18115,5.113249,0,0.260454
16.13844,5.101246,0,0.346405
16.16285,5.113249,0,0.265005
16.14454,5.103246,0,0.266305
16.14454,5.111248,0,0.266305
16.17505,5.105247,0,0.264875
16.13844,5.109248,0,0.265915
16.16895,5.111248,0,0.266955
16.15064,5.111248,0,0.266175
16.18115,5.107247,0,0.264095
16.18725,5.115249,0,0.274757
16.18115,5.11925,0,0.261884
16.18115,5.117249,0,0.261234
16.18115,5.121251,0,0.264745
16.17505,5.113249,0,0.265395
16.17505,5.115249,0,0.261884
16.18115,5.113249,0,0.262404
16.18115,5.117249,0,0.261624
16.15064,5.115249,0,0.259283
16.18115,5.117249,0,0.260714
16.18725,5.117249,0,0.261754
16.17505,5.107247,0,0.259283
16.16285,5.109248,0,0.260324
16.18115,5.107247,0,0.260974
16.17505,5.115249,0,0.257723
16.18725,5.117249,0,0.259543
16.17505,5.115249,0,0.257593
16.15675,5.109248,0,0.257983
16.18115,5.115249,0,0.259673
16.15675,5.121251,0,0.258373
16.19335,5.117249,0,0.259413
16.18725,5.109248,0,0.259543
16.16895,5.107247,0,0.258243
16.17505,5.113249,0,0.259283
16.17505,5.111248,0,0.258243
16.19335,5.117249,0,0.256293
16.18725,5.117249,0,0.257853
16.16285,5.113249,0,0.258373
16.15064,5.121251,0,0.258243
16.18115,5.117249,0,0.259283
16.16285,5.107247,0,0.258633
16.19946,5.117249,0,0.258633
16.18115,5.113249,0,0.261494
16.15064,5.101246,0,0.257983
16.18115,5.113249,0,0.260324
16.16285,5.121251,0,0.256813
16.16285,5.111248,0,0.255642
16.16285,5.117249,0,0.256813
16.19335,5.121251,0,0.258243
16.18115,5.115249,0,0.257853
16.18725,5.113249,0,0.259283
16.15675,5.109248,0,0.258243
16.15675,5.105247,0,0.258503
16.14454,5.107247,0,0.259933
16.15675,5.109248,0,0.257983
16.18725,5.107247,0,0.259023
16.21776,5.113249,0,0.259803
16.16895,5.113249,0,0.257073
16.18725,5.113249,0,0.260194
16.18115,5.115249,0,0.257983
16.15064,5.11925,0,0.259023
16.17505,5.109248,0,0.260584
16.16895,5.11925,0,0.258373
16.19335,5.107247,0,0.260194
